demographic_averages,demographic_counts,epno,score_counts,sid
"{'Males': 7.3, 'Females': 6.8, 'Aged 18-29': 7.6, 'Males Aged 18-29': 7.7, 'Females Aged 18-29': 6.4, 'Aged 30-44': 6.9, 'Males Aged 30-44': 6.9, 'Females Aged 30-44': 7.1, 'Aged 45+': 7.3, 'Males Aged 45+': 7.3, 'Females Aged 45+': 6.5, 'Top 1000 voters': 7.2, 'US users': 7.2, 'Non-US users': 7.2, 'IMDb users': 7.3}","{'Males': 111, 'Females': 28, 'Aged 18-29': 64, 'Males Aged 18-29': 49, 'Females Aged 18-29': 13, 'Aged 30-44': 46, 'Males Aged 30-44': 36, 'Females Aged 30-44': 9, 'Aged 45+': 26, 'Males Aged 45+': 22, 'Females Aged 45+': 4, 'Top 1000 voters': 31, 'US users': 57, 'Non-US users': 60, 'IMDb users': 163}",3,"{'10': 21, '9': 20, '8': 33, '7': 41, '6': 23, '5': 14, '4': 4, '3': 2, '2': 1, '1': 4}",39
"{'Males': 6.4, 'Females': 7.0, 'Aged 18-29': 6.5, 'Males Aged 18-29': 6.4, 'Females Aged 18-29': 6.9, 'Aged 30-44': 6.5, 'Males Aged 30-44': 6.3, 'Females Aged 30-44': 7.2, 'Aged 45+': 6.6, 'Males Aged 45+': 6.5, 'Females Aged 45+': 7.3, 'Top 1000 voters': 6.7, 'US users': 6.4, 'Non-US users': 6.5, 'IMDb users': 6.5}","{'Males': 124, 'Females': 25, 'Aged 18-29': 64, 'Males Aged 18-29': 51, 'Females Aged 18-29': 11, 'Aged 30-44': 62, 'Males Aged 30-44': 49, 'Females Aged 30-44': 10, 'Aged 45+': 25, 'Males Aged 45+': 22, 'Females Aged 45+': 3, 'Top 1000 voters': 31, 'US users': 66, 'Non-US users': 63, 'IMDb users': 172}",2,"{'10': 12, '9': 10, '8': 24, '7': 47, '6': 35, '5': 16, '4': 12, '3': 6, '2': 3, '1': 7}",39
"{'Males': 6.2, 'Females': 7.0, 'Aged 18-29': 6.6, 'Males Aged 18-29': 6.5, 'Females Aged 18-29': 6.4, 'Aged 30-44': 6.3, 'Males Aged 30-44': 5.9, 'Females Aged 30-44': 7.3, 'Aged 45+': 6.2, 'Males Aged 45+': 6.1, 'Females Aged 45+': 5.7, 'Top 1000 voters': 6.2, 'US users': 6.3, 'Non-US users': 6.3, 'IMDb users': 6.3}","{'Males': 152, 'Females': 41, 'Aged 18-29': 87, 'Males Aged 18-29': 64, 'Females Aged 18-29': 21, 'Aged 30-44': 72, 'Males Aged 30-44': 57, 'Females Aged 30-44': 14, 'Aged 45+': 30, 'Males Aged 45+': 27, 'Females Aged 45+': 3, 'Top 1000 voters': 35, 'US users': 90, 'Non-US users': 73, 'IMDb users': 220}",1,"{'10': 20, '9': 21, '8': 28, '7': 50, '6': 43, '5': 16, '4': 9, '3': 4, '2': 5, '1': 24}",39
"{'Males': 7.5, 'Females': 7.9, 'Aged under 18': 7.0, 'Males under 18': 7.0, 'Aged 18-29': 7.9, 'Males Aged 18-29': 7.9, 'Females Aged 18-29': 7.7, 'Aged 30-44': 7.3, 'Males Aged 30-44': 7.1, 'Females Aged 30-44': 8.2, 'Aged 45+': 7.5, 'Males Aged 45+': 7.5, 'Females Aged 45+': 8.0, 'Top 1000 voters': 7.4, 'US users': 7.4, 'Non-US users': 7.6, 'IMDb users': 7.6}","{'Males': 142, 'Females': 40, 'Aged under 18': 1, 'Males under 18': 1, 'Aged 18-29': 83, 'Males Aged 18-29': 60, 'Females Aged 18-29': 20, 'Aged 30-44': 68, 'Males Aged 30-44': 51, 'Females Aged 30-44': 15, 'Aged 45+': 30, 'Males Aged 45+': 27, 'Females Aged 45+': 3, 'Top 1000 voters': 39, 'US users': 86, 'Non-US users': 72, 'IMDb users': 210}",0,"{'10': 31, '9': 23, '8': 58, '7': 57, '6': 19, '5': 7, '4': 4, '3': 2, '2': 1, '1': 8}",39
"{'Males': 7.4, 'Females': 7.2, 'Aged under 18': 8.0, 'Males under 18': 8.0, 'Aged 18-29': 8.0, 'Males Aged 18-29': 8.0, 'Females Aged 18-29': 7.3, 'Aged 30-44': 7.1, 'Males Aged 30-44': 6.9, 'Females Aged 30-44': 7.5, 'Aged 45+': 7.3, 'Males Aged 45+': 7.2, 'Females Aged 45+': 7.7, 'Top 1000 voters': 6.8, 'US users': 7.0, 'Non-US users': 7.9, 'IMDb users': 7.6}","{'Males': 85, 'Females': 25, 'Aged under 18': 1, 'Males under 18': 1, 'Aged 18-29': 45, 'Males Aged 18-29': 29, 'Females Aged 18-29': 14, 'Aged 30-44': 41, 'Males Aged 30-44': 34, 'Females Aged 30-44': 6, 'Aged 45+': 21, 'Males Aged 45+': 18, 'Females Aged 45+': 3, 'Top 1000 voters': 28, 'US users': 49, 'Non-US users': 47, 'IMDb users': 131}",20,"{'10': 32, '9': 14, '8': 29, '7': 25, '6': 10, '5': 5, '4': 4, '3': 3, '2': 2, '1': 7}",38
"{'Males': 7.4, 'Females': 6.9, 'Aged 18-29': 7.8, 'Males Aged 18-29': 8.3, 'Females Aged 18-29': 6.1, 'Aged 30-44': 6.9, 'Males Aged 30-44': 6.8, 'Females Aged 30-44': 7.1, 'Aged 45+': 7.0, 'Males Aged 45+': 6.8, 'Females Aged 45+': 8.0, 'Top 1000 voters': 7.0, 'US users': 6.9, 'Non-US users': 7.7, 'IMDb users': 7.3}","{'Males': 82, 'Females': 27, 'Aged 18-29': 48, 'Males Aged 18-29': 34, 'Females Aged 18-29': 12, 'Aged 30-44': 43, 'Males Aged 30-44': 33, 'Females Aged 30-44': 9, 'Aged 45+': 16, 'Males Aged 45+': 13, 'Females Aged 45+': 3, 'Top 1000 voters': 31, 'US users': 49, 'Non-US users': 42, 'IMDb users': 128}",19,"{'10': 32, '9': 7, '8': 24, '7': 35, '6': 11, '5': 6, '4': 3, '3': 1, '2': 1, '1': 8}",38
"{'Males': 7.6, 'Females': 7.5, 'Aged 18-29': 8.1, 'Males Aged 18-29': 8.1, 'Females Aged 18-29': 7.9, 'Aged 30-44': 7.4, 'Males Aged 30-44': 7.4, 'Females Aged 30-44': 7.3, 'Aged 45+': 7.3, 'Males Aged 45+': 7.3, 'Females Aged 45+': 7.5, 'Top 1000 voters': 7.5, 'US users': 7.5, 'Non-US users': 7.8, 'IMDb users': 7.7}","{'Males': 89, 'Females': 26, 'Aged 18-29': 48, 'Males Aged 18-29': 35, 'Females Aged 18-29': 11, 'Aged 30-44': 50, 'Males Aged 30-44': 37, 'Females Aged 30-44': 12, 'Aged 45+': 17, 'Males Aged 45+': 15, 'Females Aged 45+': 2, 'Top 1000 voters': 32, 'US users': 49, 'Non-US users': 52, 'IMDb users': 130}",18,"{'10': 30, '9': 15, '8': 29, '7': 28, '6': 12, '5': 8, '4': 3, '3': 1, '2': 0, '1': 4}",38
"{'Males': 5.5, 'Females': 4.3, 'Aged 18-29': 5.3, 'Males Aged 18-29': 5.5, 'Females Aged 18-29': 3.8, 'Aged 30-44': 5.7, 'Males Aged 30-44': 5.9, 'Females Aged 30-44': 4.7, 'Aged 45+': 4.9, 'Males Aged 45+': 4.7, 'Females Aged 45+': 6.0, 'Top 1000 voters': 5.9, 'US users': 5.0, 'Non-US users': 5.6, 'IMDb users': 5.2}","{'Males': 60, 'Females': 22, 'Aged 18-29': 30, 'Males Aged 18-29': 20, 'Females Aged 18-29': 8, 'Aged 30-44': 37, 'Males Aged 30-44': 26, 'Females Aged 30-44': 10, 'Aged 45+': 14, 'Males Aged 45+': 11, 'Females Aged 45+': 3, 'Top 1000 voters': 23, 'US users': 40, 'Non-US users': 31, 'IMDb users': 96}",17,"{'10': 7, '9': 1, '8': 6, '7': 11, '6': 15, '5': 26, '4': 12, '3': 3, '2': 3, '1': 12}",38
"{'Males': 7.2, 'Females': 7.1, 'Aged 18-29': 7.5, 'Males Aged 18-29': 8.0, 'Females Aged 18-29': 5.8, 'Aged 30-44': 7.1, 'Males Aged 30-44': 6.9, 'Females Aged 30-44': 7.5, 'Aged 45+': 6.8, 'Males Aged 45+': 6.5, 'Females Aged 45+': 8.6, 'Top 1000 voters': 7.4, 'US users': 7.3, 'Non-US users': 7.1, 'IMDb users': 7.2}","{'Males': 82, 'Females': 29, 'Aged 18-29': 43, 'Males Aged 18-29': 31, 'Females Aged 18-29': 10, 'Aged 30-44': 45, 'Males Aged 30-44': 32, 'Females Aged 30-44': 12, 'Aged 45+': 20, 'Males Aged 45+': 15, 'Females Aged 45+': 5, 'Top 1000 voters': 30, 'US users': 50, 'Non-US users': 45, 'IMDb users': 131}",16,"{'10': 29, '9': 13, '8': 17, '7': 33, '6': 20, '5': 6, '4': 2, '3': 2, '2': 2, '1': 7}",38
"{'Males': 8.4, 'Females': 8.9, 'Aged under 18': 9.0, 'Males under 18': 9.0, 'Aged 18-29': 8.9, 'Males Aged 18-29': 9.0, 'Females Aged 18-29': 8.6, 'Aged 30-44': 8.2, 'Males Aged 30-44': 7.9, 'Females Aged 30-44': 9.0, 'Aged 45+': 8.4, 'Males Aged 45+': 8.2, 'Females Aged 45+': 8.6, 'Top 1000 voters': 7.1, 'US users': 8.1, 'Non-US users': 8.7, 'IMDb users': 8.5}","{'Males': 163, 'Females': 74, 'Aged under 18': 1, 'Males under 18': 1, 'Aged 18-29': 103, 'Males Aged 18-29': 62, 'Females Aged 18-29': 38, 'Aged 30-44': 90, 'Males Aged 30-44': 67, 'Females Aged 30-44': 21, 'Aged 45+': 33, 'Males Aged 45+': 23, 'Females Aged 45+': 10, 'Top 1000 voters': 41, 'US users': 98, 'Non-US users': 87, 'IMDb users': 271}",15,"{'10': 106, '9': 62, '8': 51, '7': 23, '6': 9, '5': 3, '4': 2, '3': 3, '2': 1, '1': 11}",38
"{'Males': 6.6, 'Females': 6.1, 'Aged 18-29': 7.2, 'Males Aged 18-29': 7.6, 'Females Aged 18-29': 6.4, 'Aged 30-44': 5.9, 'Males Aged 30-44': 6.0, 'Females Aged 30-44': 5.3, 'Aged 45+': 6.3, 'Males Aged 45+': 6.0, 'Females Aged 45+': 7.7, 'Top 1000 voters': 6.2, 'US users': 6.7, 'Non-US users': 6.4, 'IMDb users': 6.6}","{'Males': 92, 'Females': 30, 'Aged 18-29': 52, 'Males Aged 18-29': 35, 'Females Aged 18-29': 15, 'Aged 30-44': 52, 'Males Aged 30-44': 40, 'Females Aged 30-44': 11, 'Aged 45+': 17, 'Males Aged 45+': 14, 'Females Aged 45+': 3, 'Top 1000 voters': 28, 'US users': 60, 'Non-US users': 37, 'IMDb users': 138}",14,"{'10': 21, '9': 7, '8': 20, '7': 29, '6': 29, '5': 12, '4': 4, '3': 2, '2': 3, '1': 11}",38
"{'Males': 6.9, 'Females': 7.5, 'Aged 18-29': 7.8, 'Males Aged 18-29': 7.6, 'Females Aged 18-29': 7.6, 'Aged 30-44': 6.6, 'Males Aged 30-44': 6.3, 'Females Aged 30-44': 7.4, 'Aged 45+': 7.1, 'Males Aged 45+': 6.8, 'Females Aged 45+': 8.7, 'Top 1000 voters': 6.8, 'US users': 7.0, 'Non-US users': 7.1, 'IMDb users': 7.2}","{'Males': 111, 'Females': 41, 'Aged 18-29': 64, 'Males Aged 18-29': 40, 'Females Aged 18-29': 22, 'Aged 30-44': 58, 'Males Aged 30-44': 43, 'Females Aged 30-44': 14, 'Aged 45+': 27, 'Males Aged 45+': 23, 'Females Aged 45+': 3, 'Top 1000 voters': 34, 'US users': 66, 'Non-US users': 56, 'IMDb users': 176}",13,"{'10': 40, '9': 19, '8': 28, '7': 39, '6': 24, '5': 10, '4': 5, '3': 2, '2': 2, '1': 7}",38
"{'Males': 4.1, 'Females': 4.7, 'Aged 18-29': 4.6, 'Males Aged 18-29': 4.8, 'Females Aged 18-29': 4.0, 'Aged 30-44': 4.4, 'Males Aged 30-44': 4.0, 'Females Aged 30-44': 5.9, 'Aged 45+': 3.5, 'Males Aged 45+': 3.5, 'Females Aged 45+': 4.3, 'Top 1000 voters': 4.9, 'US users': 4.1, 'Non-US users': 4.5, 'IMDb users': 4.1}","{'Males': 122, 'Females': 46, 'Aged 18-29': 60, 'Males Aged 18-29': 37, 'Females Aged 18-29': 21, 'Aged 30-44': 67, 'Males Aged 30-44': 53, 'Females Aged 30-44': 13, 'Aged 45+': 28, 'Males Aged 45+': 25, 'Females Aged 45+': 3, 'Top 1000 voters': 34, 'US users': 70, 'Non-US users': 56, 'IMDb users': 209}",12,"{'10': 32, '9': 3, '8': 10, '7': 16, '6': 22, '5': 21, '4': 16, '3': 16, '2': 7, '1': 66}",38
"{'Males': 6.4, 'Females': 6.7, 'Aged 18-29': 7.3, 'Males Aged 18-29': 7.4, 'Females Aged 18-29': 7.2, 'Aged 30-44': 5.9, 'Males Aged 30-44': 5.8, 'Females Aged 30-44': 6.0, 'Aged 45+': 5.8, 'Males Aged 45+': 5.9, 'Females Aged 45+': 5.8, 'Top 1000 voters': 6.3, 'US users': 6.3, 'Non-US users': 6.9, 'IMDb users': 6.6}","{'Males': 87, 'Females': 48, 'Aged 18-29': 57, 'Males Aged 18-29': 31, 'Females Aged 18-29': 24, 'Aged 30-44': 55, 'Males Aged 30-44': 37, 'Females Aged 30-44': 16, 'Aged 45+': 20, 'Males Aged 45+': 16, 'Females Aged 45+': 4, 'Top 1000 voters': 32, 'US users': 57, 'Non-US users': 51, 'IMDb users': 155}",11,"{'10': 26, '9': 9, '8': 21, '7': 32, '6': 30, '5': 13, '4': 10, '3': 1, '2': 3, '1': 10}",38
"{'Males': 6.8, 'Females': 7.0, 'Aged 18-29': 7.2, 'Males Aged 18-29': 7.1, 'Females Aged 18-29': 7.2, 'Aged 30-44': 6.4, 'Males Aged 30-44': 6.4, 'Females Aged 30-44': 6.3, 'Aged 45+': 6.7, 'Males Aged 45+': 6.6, 'Females Aged 45+': 8.0, 'Top 1000 voters': 6.5, 'US users': 6.7, 'Non-US users': 6.8, 'IMDb users': 6.9}","{'Males': 115, 'Females': 53, 'Aged 18-29': 84, 'Males Aged 18-29': 47, 'Females Aged 18-29': 35, 'Aged 30-44': 61, 'Males Aged 30-44': 48, 'Females Aged 30-44': 12, 'Aged 45+': 21, 'Males Aged 45+': 19, 'Females Aged 45+': 2, 'Top 1000 voters': 32, 'US users': 69, 'Non-US users': 70, 'IMDb users': 197}",10,"{'10': 39, '9': 10, '8': 32, '7': 45, '6': 31, '5': 16, '4': 8, '3': 4, '2': 2, '1': 10}",38
"{'Males': 7.8, 'Females': 7.7, 'Aged 18-29': 8.1, 'Males Aged 18-29': 8.1, 'Females Aged 18-29': 7.3, 'Aged 30-44': 7.4, 'Males Aged 30-44': 7.5, 'Females Aged 30-44': 7.5, 'Aged 45+': 8.0, 'Males Aged 45+': 8.0, 'Females Aged 45+': 8.5, 'Top 1000 voters': 7.6, 'US users': 7.8, 'Non-US users': 7.8, 'IMDb users': 7.9}","{'Males': 110, 'Females': 29, 'Aged 18-29': 48, 'Males Aged 18-29': 32, 'Females Aged 18-29': 14, 'Aged 30-44': 57, 'Males Aged 30-44': 43, 'Females Aged 30-44': 12, 'Aged 45+': 36, 'Males Aged 45+': 34, 'Females Aged 45+': 2, 'Top 1000 voters': 38, 'US users': 73, 'Non-US users': 51, 'IMDb users': 158}",9,"{'10': 38, '9': 19, '8': 43, '7': 26, '6': 18, '5': 8, '4': 1, '3': 1, '2': 1, '1': 3}",38
"{'Males': 6.5, 'Females': 7.3, 'Aged 18-29': 7.8, 'Males Aged 18-29': 7.6, 'Females Aged 18-29': 8.3, 'Aged 30-44': 6.5, 'Males Aged 30-44': 6.4, 'Females Aged 30-44': 6.9, 'Aged 45+': 5.3, 'Males Aged 45+': 5.4, 'Females Aged 45+': 5.2, 'Top 1000 voters': 6.5, 'US users': 6.0, 'Non-US users': 7.7, 'IMDb users': 6.7}","{'Males': 92, 'Females': 27, 'Aged 18-29': 47, 'Males Aged 18-29': 31, 'Females Aged 18-29': 14, 'Aged 30-44': 53, 'Males Aged 30-44': 45, 'Females Aged 30-44': 6, 'Aged 45+': 21, 'Males Aged 45+': 16, 'Females Aged 45+': 5, 'Top 1000 voters': 31, 'US users': 58, 'Non-US users': 43, 'IMDb users': 132}",8,"{'10': 22, '9': 8, '8': 19, '7': 29, '6': 23, '5': 8, '4': 5, '3': 8, '2': 4, '1': 6}",38
"{'Males': 6.2, 'Females': 7.7, 'Aged 18-29': 7.2, 'Males Aged 18-29': 6.8, 'Females Aged 18-29': 7.5, 'Aged 30-44': 6.1, 'Males Aged 30-44': 5.8, 'Females Aged 30-44': 7.4, 'Aged 45+': 6.2, 'Males Aged 45+': 5.9, 'Females Aged 45+': 7.7, 'Top 1000 voters': 6.1, 'US users': 6.4, 'Non-US users': 6.9, 'IMDb users': 6.7}","{'Males': 88, 'Females': 46, 'Aged 18-29': 58, 'Males Aged 18-29': 29, 'Females Aged 18-29': 26, 'Aged 30-44': 53, 'Males Aged 30-44': 41, 'Females Aged 30-44': 9, 'Aged 45+': 22, 'Males Aged 45+': 17, 'Females Aged 45+': 5, 'Top 1000 voters': 34, 'US users': 64, 'Non-US users': 44, 'IMDb users': 160}",7,"{'10': 31, '9': 5, '8': 24, '7': 36, '6': 26, '5': 14, '4': 12, '3': 3, '2': 2, '1': 7}",38
"{'Males': 7.5, 'Females': 7.7, 'Aged 18-29': 8.1, 'Males Aged 18-29': 8.0, 'Females Aged 18-29': 8.2, 'Aged 30-44': 7.3, 'Males Aged 30-44': 7.3, 'Females Aged 30-44': 7.3, 'Aged 45+': 7.1, 'Males Aged 45+': 7.2, 'Females Aged 45+': 6.0, 'Top 1000 voters': 7.3, 'US users': 7.4, 'Non-US users': 7.8, 'IMDb users': 7.6}","{'Males': 115, 'Females': 37, 'Aged 18-29': 63, 'Males Aged 18-29': 41, 'Females Aged 18-29': 20, 'Aged 30-44': 66, 'Males Aged 30-44': 52, 'Females Aged 30-44': 12, 'Aged 45+': 21, 'Males Aged 45+': 17, 'Females Aged 45+': 4, 'Top 1000 voters': 38, 'US users': 64, 'Non-US users': 66, 'IMDb users': 173}",6,"{'10': 34, '9': 16, '8': 48, '7': 35, '6': 20, '5': 9, '4': 2, '3': 1, '2': 0, '1': 8}",38
"{'Males': 7.5, 'Females': 7.3, 'Aged under 18': 8.0, 'Males under 18': 8.0, 'Aged 18-29': 7.8, 'Males Aged 18-29': 7.9, 'Females Aged 18-29': 7.0, 'Aged 30-44': 7.1, 'Males Aged 30-44': 6.9, 'Females Aged 30-44': 7.4, 'Aged 45+': 7.5, 'Males Aged 45+': 7.6, 'Females Aged 45+': 7.5, 'Top 1000 voters': 7.1, 'US users': 7.1, 'Non-US users': 7.8, 'IMDb users': 7.5}","{'Males': 140, 'Females': 31, 'Aged under 18': 1, 'Males under 18': 1, 'Aged 18-29': 72, 'Males Aged 18-29': 53, 'Females Aged 18-29': 17, 'Aged 30-44': 70, 'Males Aged 30-44': 60, 'Females Aged 30-44': 9, 'Aged 45+': 27, 'Males Aged 45+': 23, 'Females Aged 45+': 4, 'Top 1000 voters': 47, 'US users': 74, 'Non-US users': 73, 'IMDb users': 193}",5,"{'10': 42, '9': 18, '8': 42, '7': 47, '6': 19, '5': 10, '4': 2, '3': 2, '2': 3, '1': 8}",38
"{'Males': 7.2, 'Females': 8.1, 'Aged under 18': 10.0, 'Females under 18': 10.0, 'Aged 18-29': 7.9, 'Males Aged 18-29': 7.8, 'Females Aged 18-29': 7.8, 'Aged 30-44': 7.1, 'Males Aged 30-44': 6.9, 'Females Aged 30-44': 7.9, 'Aged 45+': 7.1, 'Males Aged 45+': 6.8, 'Females Aged 45+': 8.5, 'Top 1000 voters': 6.8, 'US users': 7.0, 'Non-US users': 7.6, 'IMDb users': 7.5}","{'Males': 110, 'Females': 44, 'Aged under 18': 1, 'Females under 18': 1, 'Aged 18-29': 64, 'Males Aged 18-29': 39, 'Females Aged 18-29': 23, 'Aged 30-44': 60, 'Males Aged 30-44': 47, 'Females Aged 30-44': 13, 'Aged 45+': 26, 'Males Aged 45+': 21, 'Females Aged 45+': 5, 'Top 1000 voters': 35, 'US users': 67, 'Non-US users': 56, 'IMDb users': 177}",4,"{'10': 41, '9': 19, '8': 30, '7': 44, '6': 20, '5': 13, '4': 1, '3': 1, '2': 1, '1': 7}",38
"{'Males': 6.6, 'Females': 7.4, 'Aged 18-29': 7.0, 'Males Aged 18-29': 6.7, 'Females Aged 18-29': 7.0, 'Aged 30-44': 6.4, 'Males Aged 30-44': 6.3, 'Females Aged 30-44': 7.2, 'Aged 45+': 7.2, 'Males Aged 45+': 6.9, 'Females Aged 45+': 9.0, 'Top 1000 voters': 7.0, 'US users': 6.6, 'Non-US users': 7.0, 'IMDb users': 6.9}","{'Males': 95, 'Females': 32, 'Aged 18-29': 46, 'Males Aged 18-29': 27, 'Females Aged 18-29': 17, 'Aged 30-44': 56, 'Males Aged 30-44': 45, 'Females Aged 30-44': 11, 'Aged 45+': 24, 'Males Aged 45+': 21, 'Females Aged 45+': 3, 'Top 1000 voters': 34, 'US users': 62, 'Non-US users': 48, 'IMDb users': 138}",3,"{'10': 18, '9': 7, '8': 16, '7': 40, '6': 34, '5': 12, '4': 4, '3': 1, '2': 1, '1': 5}",38
"{'Males': 6.2, 'Females': 6.3, 'Aged 18-29': 6.7, 'Males Aged 18-29': 6.9, 'Females Aged 18-29': 6.5, 'Aged 30-44': 5.9, 'Males Aged 30-44': 6.0, 'Females Aged 30-44': 5.9, 'Aged 45+': 5.9, 'Males Aged 45+': 5.7, 'Females Aged 45+': 7.3, 'Top 1000 voters': 6.3, 'US users': 5.9, 'Non-US users': 6.5, 'IMDb users': 6.3}","{'Males': 104, 'Females': 31, 'Aged 18-29': 55, 'Males Aged 18-29': 37, 'Females Aged 18-29': 16, 'Aged 30-44': 58, 'Males Aged 30-44': 47, 'Females Aged 30-44': 11, 'Aged 45+': 22, 'Males Aged 45+': 19, 'Females Aged 45+': 3, 'Top 1000 voters': 35, 'US users': 64, 'Non-US users': 50, 'IMDb users': 148}",2,"{'10': 17, '9': 4, '8': 12, '7': 27, '6': 48, '5': 21, '4': 8, '3': 4, '2': 1, '1': 6}",38
"{'Males': 6.8, 'Females': 7.7, 'Aged 18-29': 7.7, 'Males Aged 18-29': 7.4, 'Females Aged 18-29': 7.9, 'Aged 30-44': 6.6, 'Males Aged 30-44': 6.3, 'Females Aged 30-44': 7.8, 'Aged 45+': 6.8, 'Males Aged 45+': 6.6, 'Females Aged 45+': 7.5, 'Top 1000 voters': 6.5, 'US users': 6.8, 'Non-US users': 7.2, 'IMDb users': 7.1}","{'Males': 125, 'Females': 46, 'Aged 18-29': 72, 'Males Aged 18-29': 46, 'Females Aged 18-29': 24, 'Aged 30-44': 70, 'Males Aged 30-44': 56, 'Females Aged 30-44': 13, 'Aged 45+': 21, 'Males Aged 45+': 17, 'Females Aged 45+': 4, 'Top 1000 voters': 46, 'US users': 81, 'Non-US users': 62, 'IMDb users': 189}",1,"{'10': 36, '9': 14, '8': 25, '7': 49, '6': 33, '5': 10, '4': 9, '3': 3, '2': 3, '1': 7}",38
"{'Males': 7.8, 'Females': 7.8, 'Aged 18-29': 8.3, 'Males Aged 18-29': 8.3, 'Females Aged 18-29': 8.2, 'Aged 30-44': 7.4, 'Males Aged 30-44': 7.4, 'Females Aged 30-44': 7.4, 'Aged 45+': 7.5, 'Males Aged 45+': 7.4, 'Females Aged 45+': 7.6, 'Top 1000 voters': 7.3, 'US users': 7.8, 'Non-US users': 7.7, 'IMDb users': 7.9}","{'Males': 179, 'Females': 55, 'Aged 18-29': 108, 'Males Aged 18-29': 78, 'Females Aged 18-29': 28, 'Aged 30-44': 91, 'Males Aged 30-44': 72, 'Females Aged 30-44': 17, 'Aged 45+': 30, 'Males Aged 45+': 23, 'Females Aged 45+': 7, 'Top 1000 voters': 47, 'US users': 102, 'Non-US users': 99, 'IMDb users': 258}",0,"{'10': 61, '9': 43, '8': 64, '7': 46, '6': 22, '5': 12, '4': 2, '3': 1, '2': 1, '1': 6}",38
"{'Males': 8.0, 'Females': 8.1, 'Aged 18-29': 8.3, 'Males Aged 18-29': 8.2, 'Females Aged 18-29': 8.4, 'Aged 30-44': 7.8, 'Males Aged 30-44': 7.8, 'Females Aged 30-44': 7.6, 'Aged 45+': 8.1, 'Males Aged 45+': 8.1, 'Females Aged 45+': 7.7, 'Top 1000 voters': 7.7, 'US users': 7.9, 'Non-US users': 8.2, 'IMDb users': 8.0}","{'Males': 104, 'Females': 33, 'Aged 18-29': 49, 'Males Aged 18-29': 31, 'Females Aged 18-29': 16, 'Aged 30-44': 61, 'Males Aged 30-44': 49, 'Females Aged 30-44': 10, 'Aged 45+': 30, 'Males Aged 45+': 23, 'Females Aged 45+': 6, 'Top 1000 voters': 36, 'US users': 73, 'Non-US users': 48, 'IMDb users': 148}",21,"{'10': 36, '9': 24, '8': 40, '7': 22, '6': 16, '5': 5, '4': 2, '3': 0, '2': 0, '1': 3}",37
"{'Males': 7.6, 'Females': 8.0, 'Aged under 18': 10.0, 'Males under 18': 10.0, 'Aged 18-29': 8.2, 'Males Aged 18-29': 8.1, 'Females Aged 18-29': 8.3, 'Aged 30-44': 7.3, 'Males Aged 30-44': 7.1, 'Females Aged 30-44': 7.9, 'Aged 45+': 7.6, 'Males Aged 45+': 7.7, 'Females Aged 45+': 5.7, 'Top 1000 voters': 7.3, 'US users': 7.5, 'Non-US users': 7.8, 'IMDb users': 7.8}","{'Males': 71, 'Females': 25, 'Aged under 18': 1, 'Males under 18': 1, 'Aged 18-29': 40, 'Males Aged 18-29': 25, 'Females Aged 18-29': 13, 'Aged 30-44': 40, 'Males Aged 30-44': 31, 'Females Aged 30-44': 8, 'Aged 45+': 15, 'Males Aged 45+': 12, 'Females Aged 45+': 3, 'Top 1000 voters': 35, 'US users': 48, 'Non-US users': 34, 'IMDb users': 109}",20,"{'10': 21, '9': 12, '8': 33, '7': 23, '6': 9, '5': 4, '4': 2, '3': 1, '2': 1, '1': 3}",37
"{'Males': 6.3, 'Females': 7.0, 'Aged 18-29': 7.3, 'Males Aged 18-29': 6.9, 'Females Aged 18-29': 8.1, 'Aged 30-44': 6.2, 'Males Aged 30-44': 6.1, 'Females Aged 30-44': 6.6, 'Aged 45+': 5.7, 'Males Aged 45+': 5.8, 'Females Aged 45+': 5.8, 'Top 1000 voters': 6.2, 'US users': 6.3, 'Non-US users': 6.5, 'IMDb users': 6.5}","{'Males': 79, 'Females': 22, 'Aged 18-29': 35, 'Males Aged 18-29': 25, 'Females Aged 18-29': 8, 'Aged 30-44': 46, 'Males Aged 30-44': 37, 'Females Aged 30-44': 9, 'Aged 45+': 20, 'Males Aged 45+': 16, 'Females Aged 45+': 4, 'Top 1000 voters': 30, 'US users': 57, 'Non-US users': 29, 'IMDb users': 113}",19,"{'10': 16, '9': 6, '8': 8, '7': 33, '6': 21, '5': 11, '4': 7, '3': 2, '2': 2, '1': 7}",37
